From\To,MovePositionsDragState,MovePositionsSelectionState,MovePositionsState,PlacePositionsPanState,PlacePositionsState,PlacePositionsZoomState,RotateAroundCenterRotationEndState,RotateAroundCenterRotationStartState,RotateAroundCenterSelectionEndState,RotateAroundCenterSelectionStartState,RotateAroundCenterState,ScaleAroundDancerDragEndState,ScaleAroundDancerDragStartState,ScaleAroundDancerSelectionEndState,ScaleAroundDancerSelectionStartState,ScaleAroundDancerState,ScalePositionsDragEndState,ScalePositionsDragStartState,ScalePositionsSelectionEndState,ScalePositionsSelectionStartState,ScalePositionsState,ViewScenePanState,ViewSceneState,ViewSceneZoomState
MovePositionsDragState,,,MovePositionsDragCompletedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,,,,ScaleAroundDancerStartedTrigger,,,,,ScalePositionsStartedTrigger,,MovePositionsCompletedTrigger,
MovePositionsSelectionState,,,MovePositionsSelectionCompletedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,,,,ScaleAroundDancerStartedTrigger,,,,,ScalePositionsStartedTrigger,,MovePositionsCompletedTrigger,
MovePositionsState,MovePositionsDragStartedTrigger,MovePositionsSelectionStartedTrigger,,,,,,,,,RotateAroundCenterStartedTrigger,,,,,ScaleAroundDancerStartedTrigger,,,,,ScalePositionsStartedTrigger,,MovePositionsCompletedTrigger,
PlacePositionsPanState,,,,,PanCompletedTrigger,ZoomStartedTrigger,,,,,,,,,,,,,,,,,PlacePositionsCompletedTrigger; PlacePositionsCanceledTrigger,
PlacePositionsState,,,,PanStartedTrigger,,ZoomStartedTrigger,,,,,,,,,,,,,,,,,PlacePositionsCompletedTrigger; PlacePositionsCanceledTrigger,
PlacePositionsZoomState,,,,PanStartedTrigger,ZoomCompletedTrigger,,,,,,,,,,,,,,,,,,PlacePositionsCompletedTrigger; PlacePositionsCanceledTrigger,
RotateAroundCenterRotationEndState,,,MovePositionsStartedTrigger,,,,,RotateAroundCenterRotationStartedTrigger,,RotateAroundCenterSelectionStartedTrigger,,,,,,ScaleAroundDancerStartedTrigger,,,,,ScalePositionsStartedTrigger,,RotateAroundCenterCompletedTrigger,
RotateAroundCenterRotationStartState,,,MovePositionsStartedTrigger,,,,RotateAroundCenterRotationCompletedTrigger,,,,,,,,,ScaleAroundDancerStartedTrigger,,,,,ScalePositionsStartedTrigger,,RotateAroundCenterCompletedTrigger,
RotateAroundCenterSelectionEndState,,,MovePositionsStartedTrigger,,,,,RotateAroundCenterRotationStartedTrigger,,RotateAroundCenterSelectionStartedTrigger,,,,,,ScaleAroundDancerStartedTrigger,,,,,ScalePositionsStartedTrigger,,RotateAroundCenterCompletedTrigger,
RotateAroundCenterSelectionStartState,,,MovePositionsStartedTrigger,,,,,,RotateAroundCenterSelectionCompletedTrigger,,,,,,,ScaleAroundDancerStartedTrigger,,,,,ScalePositionsStartedTrigger,,RotateAroundCenterCompletedTrigger,
RotateAroundCenterState,,,MovePositionsStartedTrigger,,,,,RotateAroundCenterRotationStartedTrigger,RotateAroundCenterSelectionCompletedTrigger,RotateAroundCenterSelectionStartedTrigger,,,,,,ScaleAroundDancerStartedTrigger,,,,,ScalePositionsStartedTrigger,,RotateAroundCenterCompletedTrigger,
ScaleAroundDancerDragEndState,,,MovePositionsStartedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,,,,,,,,,ScalePositionsStartedTrigger,,ScaleAroundDancerCompletedTrigger,
ScaleAroundDancerDragStartState,,,MovePositionsStartedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,ScaleAroundDancerDragCompletedTrigger,,,,,,,,,ScalePositionsStartedTrigger,,ScaleAroundDancerCompletedTrigger,
ScaleAroundDancerSelectionEndState,,,MovePositionsStartedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,ScaleAroundDancerDragStartedTrigger,,,,,,,,ScalePositionsStartedTrigger,,ScaleAroundDancerCompletedTrigger,
ScaleAroundDancerSelectionStartState,,,MovePositionsStartedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,,ScaleAroundDancerSelectionCompletedTrigger,,,,,,,ScalePositionsStartedTrigger,,ScaleAroundDancerCompletedTrigger,
ScaleAroundDancerState,,,MovePositionsStartedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,ScaleAroundDancerDragStartedTrigger,ScaleAroundDancerSelectionCompletedTrigger,ScaleAroundDancerSelectionStartedTrigger,,,,,,ScalePositionsStartedTrigger,,ScaleAroundDancerCompletedTrigger,
ScalePositionsDragEndState,,,MovePositionsStartedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,,,,ScaleAroundDancerStartedTrigger,,,,,,,ScalePositionsCompletedTrigger,
ScalePositionsDragStartState,,,MovePositionsStartedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,,,,ScaleAroundDancerStartedTrigger,ScalePositionsDragCompletedTrigger,,,,,,ScalePositionsCompletedTrigger,
ScalePositionsSelectionEndState,,,MovePositionsStartedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,,,,ScaleAroundDancerStartedTrigger,,ScalePositionsDragStartedTrigger,,,,,ScalePositionsCompletedTrigger,
ScalePositionsSelectionStartState,,,MovePositionsStartedTrigger,,,,,,,,RotateAroundCenterStartedTrigger,,,,,ScaleAroundDancerStartedTrigger,,,ScalePositionsSelectionCompletedTrigger,,,,ScalePositionsCompletedTrigger,
